d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
0,0.000000,-0.000410,0.002627,-0.001844,0.008179,0.000420,0.003852,0.021037,-0.018099,0.005614,-0.005507,0.000515,-0.008782,-0.005132,0.005969,-0.005118,0.023116,-0.023994,0.011019,0.032284,0.038312,-0.032567,0.000024,0.084468,0.066726,0.001994,0.003114,-0.029741,-0.011310,-0.015239,-0.009505,0.000463,-0.004508,-0.005252,-0.000054,-0.003319,-0.002661
0,0.000000,0.001368,-0.008132,0.004999,0.008090,0.010438,0.004307,0.000170,0.000956,-0.016507,0.022914,-0.000020,0.007580,-0.012146,-0.003041,0.015887,0.001003,0.009457,0.024394,-0.001959,0.001519,0.000977,0.000006,0.069345,0.058022,0.000416,-0.004243,-0.003713,-0.004825,-0.029166,-0.024340,0.000495,0.026692,-0.005505,-0.002292,0.000091,-0.006245
0,0.000000,0.001300,0.000254,-0.006169,0.015171,-0.004540,0.003134,0.027894,-0.019563,0.007776,-0.009305,0.001188,-0.014301,-0.008527,0.023357,0.007874,0.007927,-0.041545,0.024809,0.005136,0.017199,0.003733,0.000725,0.087507,0.071028,0.002035,-0.000783,-0.012759,-0.015170,-0.009848,-0.002786,-0.001209,0.000460,-0.011221,0.004985,-0.007946,-0.003082
0,0.000000,-0.001702,-0.001949,-0.005754,0.010273,-0.010121,-0.000390,0.024653,-0.010238,0.007705,-0.004817,0.003890,-0.009337,-0.008873,0.019224,0.003248,0.013626,-0.029217,0.019131,0.002221,0.020017,0.006913,0.001095,0.079218,0.074290,0.005221,0.002281,-0.019729,-0.014095,-0.013196,-0.005815,-0.001136,0.006077,-0.009829,0.000719,-0.002634,-0.004370
0,0.000000,0.018414,0.002832,-0.013032,0.007083,-0.026895,0.013089,0.003393,0.010708,0.004869,0.008657,-0.000135,-0.015176,0.005879,-0.007523,0.006366,0.019829,-0.032717,0.019161,0.023120,0.003205,0.006391,0.000078,0.075317,0.098150,0.001304,-0.013253,-0.039984,-0.010580,-0.009095,-0.008962,-0.001771,0.002703,-0.003197,0.000578,-0.001902,0.000220
0,0.000000,0.009283,-0.003217,0.001474,-0.000736,-0.001178,0.004342,0.007197,0.004868,-0.006362,0.005674,-0.000611,0.015631,-0.004222,0.009753,-0.001940,0.021013,-0.001328,0.025687,0.010889,0.021211,-0.014421,0.000209,0.048039,0.047694,0.002855,0.013366,-0.008141,-0.005881,-0.009092,-0.014354,-0.005117,0.006316,-0.011612,0.008745,-0.000022,-0.005031
0,0.000000,0.008828,0.001062,-0.028643,0.016593,-0.028410,0.008155,0.012551,0.010931,-0.013053,0.013188,-0.000662,-0.005595,0.012876,0.006945,-0.014319,0.024176,-0.013349,0.038837,0.012023,0.015036,-0.016394,0.000164,0.055211,0.102823,0.001148,0.008577,-0.028570,-0.008046,-0.022077,-0.008476,-0.002353,0.001623,-0.002077,0.005182,0.002817,-0.003284
0,0.000000,-0.002712,0.002676,-0.005689,0.005315,-0.017870,0.003024,0.021831,0.003618,0.014116,0.005183,0.000778,-0.010869,0.001930,-0.006822,0.035835,0.009329,0.013760,0.009140,0.016686,-0.003290,0.007695,0.000000,0.044196,0.050048,0.010265,0.023475,-0.001417,-0.006791,-0.027634,-0.001158,-0.001328,-0.008000,-0.006044,0.000023,-0.000125,-0.001850
0,0.000000,0.001609,-0.003941,-0.010144,0.006110,-0.019484,0.002981,0.013295,0.001038,-0.005755,0.019232,0.005763,-0.016717,0.007830,0.010828,0.001984,0.000016,0.003200,0.042081,0.006590,-0.001639,0.008947,0.023943,0.024867,0.056972,0.031952,0.022553,0.000452,0.006986,0.005596,-0.016469,-0.001125,0.000337,-0.004734,0.003256,-0.000599,0.007463
0,0.000000,0.000475,0.006813,-0.000946,0.013240,-0.019504,-0.001741,0.013639,0.007638,-0.003911,0.009127,0.004296,-0.022306,0.010077,0.017758,-0.003152,0.007365,0.007860,0.046325,0.002842,-0.001644,0.002044,0.026920,0.029765,0.057673,0.035460,0.012969,0.002142,0.002432,0.008227,-0.018194,-0.001982,-0.002776,-0.002312,0.002131,0.002498,0.005223
