d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36,y
1,-0.021925,0.000800,-0.030931,0.026366,-0.009906,-0.004856,0.003133,-0.013574,-0.019028,0.007911,-0.024240,0.004515,-0.021295,0.017079,-0.006396,-0.008736,0.009957,0.001026,-0.000276,-0.000581,-0.001641,-0.005447,0.005536,0.001727,0.010803,0.001433,-0.002764,0.001414,-0.012196,0.002257,0.008604,0.003663,0.002702,0.000307,-0.000353,-0.007438,0.000513,0.007400
2,-0.000419,0.000634,-0.000651,-0.002009,0.000878,-0.002321,0.001318,-0.001711,0.003377,-0.001380,-0.001064,0.001627,-0.000094,-0.000107,0.000043,0.000052,0.000082,0.000157,-0.000162,0.000095,0.000078,-0.000085,-0.001637,-0.003880,-0.005331,0.002725,-0.019198,-0.012795,-0.023035,-0.009459,0.015706,0.014245,-0.030465,0.004636,0.017081,-0.038811,0.010109,0.003550
1,0.000634,-0.000651,-0.002009,0.000878,-0.002321,0.001318,-0.001711,0.003377,-0.001380,-0.001064,0.001627,-0.000094,-0.000107,0.000043,0.000052,0.000082,0.000157,-0.000162,0.000095,0.000078,-0.000085,-0.001637,-0.003880,-0.005331,0.002725,-0.019198,-0.012795,-0.023035,-0.009459,0.015706,0.014245,-0.030465,0.004636,0.017081,-0.038811,0.010109,0.000357,0.003550
1,-0.001176,-0.000141,-0.000485,-0.000102,-0.000266,-0.001690,-0.000664,0.000026,-0.004369,0.001697,-0.001915,0.001704,-0.003106,0.002427,-0.001633,-0.001165,0.001878,0.000095,-0.000074,-0.002989,-0.002795,-0.005655,-0.013672,-0.008899,-0.017883,-0.006039,-0.005891,0.006282,-0.007161,-0.005437,0.014300,-0.007492,-0.002409,-0.011452,0.004440,-0.005635,0.007400,0.007400
1,0.001996,0.001133,-0.008398,0.001706,0.000918,-0.004289,0.005715,-0.008791,0.006140,-0.004281,0.005056,-0.001750,-0.003794,0.001948,0.000320,-0.009199,0.002034,-0.023875,-0.011515,-0.007206,-0.001450,-0.020089,-0.014336,0.001638,0.009947,-0.001517,0.003949,0.008957,-0.006544,-0.001422,-0.010722,0.001900,-0.004539,-0.004073,0.002704,-0.003891,0.016149,0.012550
0,0.000026,-0.004369,0.001697,-0.001915,0.001704,-0.003106,0.002427,-0.001633,-0.001165,0.001878,0.000095,-0.000074,-0.002989,-0.002795,-0.005655,-0.013672,-0.008899,-0.017883,-0.006039,-0.005891,0.006282,-0.007161,-0.005437,0.014300,-0.007492,-0.002409,-0.011452,0.004440,-0.005635,0.007400,-0.008948,0.016269,0.001539,-0.027606,0.004335,0.006587,0.003828,0.003550
2,-0.004369,0.001697,-0.001915,0.001704,-0.003106,0.002427,-0.001633,-0.001165,0.001878,0.000095,-0.000074,-0.002989,-0.002795,-0.005655,-0.013672,-0.008899,-0.017883,-0.006039,-0.005891,0.006282,-0.007161,-0.005437,0.014300,-0.007492,-0.002409,-0.011452,0.004440,-0.005635,0.007400,-0.008948,0.016269,0.001539,-0.027606,0.004335,0.006587,0.003828,0.000113,0.013350
2,-0.016857,-0.025585,-0.007062,-0.030402,0.006958,-0.037481,0.050200,-0.051115,0.045496,-0.020700,-0.020348,0.025747,0.000376,-0.000864,0.000108,0.002450,-0.001353,0.000074,0.000942,-0.000740,0.000283,0.000031,0.000363,0.000626,0.000635,0.000514,-0.000645,-0.000751,0.000105,0.000530,0.001474,0.000104,0.000620,0.000250,-0.000206,-0.001197,0.000630,0.003550
0,-0.009873,-0.012620,0.010544,-0.028739,-0.015037,0.002731,-0.028327,0.012600,-0.028821,0.026929,-0.011488,-0.010856,0.014227,0.000848,0.003713,-0.000398,-0.002301,0.003458,-0.000712,-0.003588,0.007901,0.000917,0.000858,0.000117,-0.001357,0.001032,0.001357,0.001501,0.001171,-0.000238,-0.000194,-0.000610,-0.000913,-0.000899,0.000195,0.000910,-0.009727,0.012550
0,0.001983,-0.016857,-0.025585,-0.007062,-0.030402,0.006958,-0.037481,0.050200,-0.051115,0.045496,-0.020700,-0.020348,0.025747,0.000376,-0.000864,0.000108,0.002450,-0.001353,0.000074,0.000942,-0.000740,0.000283,0.000031,0.000363,0.000626,0.000635,0.000514,-0.000645,-0.000751,0.000105,0.000530,0.001474,0.000104,0.000620,0.000250,-0.000206,-0.001197,0.012550
